Grammar,Use,Meaning,Example,Link
敢えて,Nは・ー,"(A) Se atreve a B [Arriesgado, innecesario]",彼は敢えて一人で行く気ですか,https://jlptsensei.com/learn-japanese-grammar/敢えて-あえて-aete-meaning/
あくまでも,Nは・ー,(A) Definitivamente/Hasta el final [limite] B,私はあくまでも彼女を見つけるつもりです,https://jlptsensei.com/learn-japanese-grammar/あくまでも-akumade-mo-meaning/
案の定,ー,Como se esperaba/siempre B,案の定、彼は第一位になった,https://jlptsensei.com/learn-japanese-grammar/案の定-あんのじょう-an-no-jou-meaning/
あらかじめ,あらかじめ+action,"Por adelantado/Previamente B [Preparacion, contexto formal] ",あらかじめ教科書を読んでください,https://jlptsensei.com/learn-japanese-grammar/あらかじめ-arakajime-meaning/
あっての,N＋あっての＋N,B depende totalmente de A [Indispensable],健康な体あっての人生です,https://jlptsensei.com/learn-japanese-grammar/あっての-atte-no-meaning/
ばこそ,Vば・N+であれば・Aな+であれば・Aい+いければ,Unicamente gracias a A [Razon],優勝できたのは、チーム全員協力あればこそだ,https://jlptsensei.com/learn-japanese-grammar/ばこそ-ba-koso-meaning/
ばそれまでだ・たらそれまでだ,Vば・Vたら,"Si A, ahi se acaba todo (No hay nada mas que hacer)",いくらお金をためでも、死んでしまえばそれまでだ,https://jlptsensei.com/learn-japanese-grammar/ばそれまでだ-たらそれまでだ-ba-sore-made-da-meaning/
べからず・べからざる,Vる,A es imperdonable/esta prohibido,ビル内でタバコを吸うべからず,https://jlptsensei.com/learn-japanese-grammar/べからず-べからざる-bekarazu-bekarazaru-meaning/https://jlptsensei.com/learn-japanese-grammar/べからず-べからざる-bekarazu-bekarazaru-meaning/
べく,Vる+べく（するべく）,"Para lograr/conseguir A, B (ために pero formal)",JLPTN1に合格すべく、毎日頑張って勉強しています,https://jlptsensei.com/learn-japanese-grammar/べく-beku-meaning/
べくもない,Vる+べくもない（するべくもない）,A es imposible（わけがない pero formal）,彼は勉強せずに毎日遊んでばかりいた。N1合格を望むべくもない,https://jlptsensei.com/learn-japanese-grammar/べくもない-beku-mo-nai-meaning/
