Vocabulario,Significado
가게,Tienda
가격,Precio
가구,Muebles
가방,Bolso/Mochila
가운데,Centro
가위,Tijeras
가을,Otoño
가족,Familia (Cercana)
간식,Snacks
간장,Salsa de soja
간호사,Enfermero/a
갈비,Costillas (Cerdo/Ternera)
갈비뼈,Costillas (Humanas)
갈비탕,Galbitang (Sopa de costillas)
갈색,Marrón
감,Caqui
감기,Resfriado/Gripe
감동,Conmocion/Impresion
감자,Patata
값,Valor
강,Rio
강아지,Cachorro/Perrito
개,Perro
게,Cangrejo
개나리,Forsitia (Arbusto Coreano)
개월,Meses (2 o mas)
개인,Individuo/Personal
거,"Cosa/Objeto (Informal, 것)"
거리,Distancia
거리,Calle
거실,Salon/Sala de estar
거을,Espejo
거짓,Mentira
건너편,Al otro lado/lado opuesto
건물,Edificio
검은색,Color negro
것,Cosa/Objeto (Formal)
게임,Videojuegos
겨울,Invierno
결과,Resultado/Consecuencia
결혼식,Boda (Ceremonia)
경기,Partido/Competencia
경기장,Estadio
경복군,Palacio Gyeongbok
경주,Gyeongju (Ciudad)
경찰,Policia (Entidad)
경찰관,Policia (Persona)
경찰서,Comisaria
경치,Vista/Paisaje
경험,Experiencia
계단,Escaleras
계란,Huevo (Gallina)
계절,Estacion (4 estaciones)
계획,Plan/Proyecto
고기,Carne (Alimento)
고등학교,Instituto
고등학생,Estudiante de instituto
고모,Tia paterna
이모,Tia materna
고모부,Esposo de la tia paterna
이모부,Esposo de la tia materna
고속버스,Autobus express (larga distancia)
고양이,Gato
고장,Averia/Fallo
고추,Pimiento picante/Chile
고추장,Gochujang
고향,Ciudad Natal/Hogar
골목,Callejon
골프,Golf
곳,Lugar/Sitio
공,Pelota
공간,Espacio (Lugar/Hueco)
공기,Aire
공무원,Funcionario Publico
공연,Espectaculo/Actuacion
공원,Parque
공중잔화,Telefono publico
공짜,Gratis
공책,Cuaderno
공항,Aeropuerto
공휴일,Dia festivo
과거,Pasado
과일,Fruta
과자,Galletas
과학,Ciencia
관계,Relacion/Conexion
관심,Interes
광고,Publicidad/Anuncio
교과서,Libro de texto (Escuelas/Academias)
교수,Profesor (Escuela superior)
교실,Aula/Clase
교통,Transporte/Trafico
교통사고,Accidente de trafico
교회,Iglesia
구두,Zapatos (Formales)
구름,Nube
구월,Septiembre
국,Sopa
국내,Nacional/Dentro del pais
국립,Estatal/Publico
