Vocabulario,Significado
가게,Tienda
가격,Precio
가구,Muebles
가방,Bolso/Mochila
가운데,Centro
가위,Tijeras
가을,Otoño
가족,Familia (Cercana)
간식,Snacks
간장,Salsa de soja
간호사,Enfermero/a
갈비,Costillas (Cerdo/Ternera)
갈비뼈,Costillas (Humanas)
갈비탕,Galbitang (Sopa de costillas)
갈색,Marrón
감,Caqui
감기,Resfriado/Gripe
감동,Conmocion/Impresion
감자,Patata
값,Valor
강,Rio
강아지,Cachorro/Perrito
개,Perro
게,Cangrejo
개나리,Forsitia (Arbusto Coreano)
개월,Meses (2 o mas)
개인,Individuo/Personal
거,"Cosa/Objeto (Informal, 것)"
거리,Distancia
거리,Calle
거실,Salon/Sala de estar
거을,Espejo
거짓,Mentira
건너편,Al otro lado/lado opuesto
건물,Edificio
검은색,Color negro
것,Cosa/Objeto (Formal)
게임,Videojuegos
